Symbol,Company Name,Sector,Industry,Price,Market_Cap,IPO_Date,Exchange
ALOY,REalloys Inc.,Basic Materials,Other Precious Metals,8.72,521723695,2021-01-04,NASDAQ
FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,57.78,83041416000,1995-07-10,NYSE
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,147.09,343710090212,1978-01-13,NYSE
IP,International Paper Company,Consumer Cyclical,Packaging & Containers,30.42,16106964120,1970-01-02,NYSE
W,Wayfair Inc.,Consumer Cyclical,Specialty Retail,63.93,8358492433,2014-10-02,NYSE
LOCL,Local Bounti Corporation,Consumer Defensive,Agricultural Farm Products,2.28,51074964,2021-04-19,NYSE
ARMK,Aramark,Industrials,Specialty Business Services,45.69,12008976794,2013-12-12,NYSE
UAA,"Under Armour, Inc.",Consumer Cyclical,Apparel - Manufacturers,6.29,2688346717,2005-11-18,NYSE
BBY,"Best Buy Co., Inc.",Consumer Cyclical,Specialty Retail,60.49,12674779046,1985-04-18,NYSE
NOW,"ServiceNow, Inc.",Technology,Software - Application,88.31,91074810540,2012-06-29,NYSE
IRM,Iron Mountain Incorporated,Real Estate,REIT - Specialty,125.99,37479356154,1996-02-01,NYSE
J,Jacobs Solutions Inc.,Industrials,Engineering & Construction,129.41,15198816270,1980-03-17,NYSE
ASB,Associated Banc-Corp,Financial Services,Banks - Regional,28.16,4672926720,1980-03-17,NYSE
ATI,ATI Inc.,Industrials,Manufacturing - Metal Fabrication,155.46,21288118131,1999-11-29,NYSE
ATO,Atmos Energy Corporation,Utilities,Regulated Gas,189.98,31430090961,1983-12-28,NYSE
OSG,"Octave Specialty Group, Inc.",Financial Services,Insurance - Specialty,4.43,199410213,2013-05-01,NYSE
AAP,"Advance Auto Parts, Inc.",Consumer Cyclical,Specialty Retail,59.51,3590190692,2001-11-29,NYSE
GNK,Genco Shipping & Trading Limited,Industrials,Marine Shipping,24.24,1050023714,2014-07-15,NYSE
GNL,"Global Net Lease, Inc.",Real Estate,REIT - Diversified,9.56,2047618208,2015-06-02,NYSE
AVTR,"Avantor, Inc.",Healthcare,Medical - Instruments & Supplies,8.1,5524653568,2019-05-17,NYSE
AB,AllianceBernstein Holding L.P.,Financial Services,Asset Management,39.9,4410438350,1988-04-14,NYSE
ALB,Albemarle Corporation,Basic Materials,Chemicals - Specialty,196.7,23180504900,1994-02-22,NYSE
AMP,"Ameriprise Financial, Inc.",Financial Services,Asset Management,474.79,43058562663,2005-09-15,NYSE
AMPY,Amplify Energy Corp.,Energy,Oil & Gas Exploration & Production,6.4,264096640,2012-04-20,NYSE
AMX,"América Móvil, S.A.B. de C.V.",Communication Services,Telecommunications Services,26.6,80026094148,2001-02-12,NYSE
BDC,Belden Inc.,Technology,Communication Equipment,112.48,4379229507,1993-11-24,NYSE
BKD,Brookdale Senior Living Inc.,Healthcare,Medical - Care Facilities,14.36,3414693120,2005-11-22,NYSE
BGSF,"BGSF, Inc.",Industrials,Staffing & Employment Services,5.69,63978172,2014-04-29,NYSE
BLDR,"Builders FirstSource, Inc.",Industrials,Construction,79.09,8748065810,2005-06-28,NYSE
BMO,Bank of Montreal,Financial Services,Banks - Diversified,152.1,107412411600,1994-10-27,NYSE
BH,Biglari Holdings Inc.,Consumer Cyclical,Restaurants,309.25,970741626,1980-03-17,NYSE
CALY,Callaway Golf Company,Consumer Cyclical,Leisure,15.3,2784233886,1992-02-28,NYSE
CAAP,Corporación América Airports S.A.,Industrials,"Airlines, Airports & Air Services",24.95,4071291100,2018-02-01,NYSE
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,327.0,127604883000,1993-03-25,NYSE
CMBT,Cmb.Tech N.V.,Industrials,Marine Shipping,13.77,3159609079,2000-02-17,NYSE
CL,Colgate-Palmolive Company,Consumer Defensive,Household & Personal Products,85.36,68484491464,1973-05-02,NYSE
CON,"Concentra Group Holdings Parent, Inc.",Healthcare,Medical - Equipment & Services,22.47,2887559009,2010-05-25,NYSE
CLW,Clearwater Paper Corporation,Basic Materials,"Paper, Lumber & Forest Products",13.71,221077219,2008-12-05,NYSE
CPA,"Copa Holdings, S.A.",Industrials,"Airlines, Airports & Air Services",115.68,4772712831,2005-12-15,NYSE
DEI,"Douglas Emmett, Inc.",Real Estate,REIT - Office,10.81,1810264220,2006-10-25,NYSE
DXC,DXC Technology Company,Technology,Information Technology Services,11.32,1921683200,1981-12-31,NYSE
EGO,Eldorado Gold Corporation,Basic Materials,Gold,31.09,6155381227,2003-01-23,NYSE
YUM,"Yum! Brands, Inc.",Consumer Cyclical,Restaurants,159.65,44132069297,1997-09-17,NYSE
CARS,Cars.com Inc.,Consumer Cyclical,Auto - Dealerships,10.99,626645404,2017-06-01,NYSE
IBP,"Installed Building Products, Inc.",Consumer Cyclical,Residential Construction,288.55,7773055987,2014-02-13,NYSE
ACI,"Albertsons Companies, Inc.",Consumer Defensive,Grocery Stores,16.85,8332914750,2020-06-26,NYSE
AGCO,AGCO Corporation,Industrials,Agricultural - Machinery,121.02,8762309570,1992-04-16,NYSE
AFGC,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,18.82,1567683416,2020-01-21,NYSE
AM,Antero Midstream Corporation,Energy,Oil & Gas Midstream,21.86,10384142618,2017-05-04,NYSE
LYV,"Live Nation Entertainment, Inc.",Communication Services,Entertainment,157.94,36700201920,2005-12-21,NYSE
M,"Macy's, Inc.",Consumer Cyclical,Department Stores,19.55,5156537384,1992-02-05,NYSE
BTI,British American Tobacco p.l.c.,Consumer Defensive,Tobacco,58.8,127622460000,1980-04-14,NYSE
CNH,CNH Industrial N.V.,Industrials,Agricultural - Machinery,10.71,13287607969,1996-11-01,NYSE
TMHC,Taylor Morrison Home Corporation,Consumer Cyclical,Residential Construction,60.74,5674798498,2013-04-10,NYSE
CVEO,Civeo Corporation,Industrials,Specialty Business Services,31.9,403406379,2014-05-19,NYSE
USPH,"U.S. Physical Therapy, Inc.",Healthcare,Medical - Care Facilities,71.22,1082837355,1992-05-29,NYSE
DK,"Delek US Holdings, Inc.",Energy,Oil & Gas Refining & Marketing,46.59,2786473356,2006-05-04,NYSE
ECL,Ecolab Inc.,Basic Materials,Chemicals - Specialty,260.6,73599633941,1957-01-01,NYSE
ENR,"Energizer Holdings, Inc.",Industrials,Electrical Equipment & Parts,19.58,1342612740,2015-06-12,NYSE
